submittedTimestamp,email,names,lastNames,participationDay,title,description,talkExperience,optionalLinks,talkType,tag,gender,biography,photoURL,publicTalkExperience,needsGuidance,linkedIn,instagram,facebook,twitter,youTube,tikTok,gitHub,whatsApp,givesRights
05/09/2023 20:04,dummy1@gmail.com,Dummy1,McDummy1,17/11/2023,Some Title,Some Description,P,---,L,Tag A,F,Some Biography,SomeURL,P,Y,---,---,---,---,---,---,---,---,Y
05/10/2023 21:00,dummy2@gmail.com,Dummy2,McDummy2,18/11/2023,Some Title,Some Description,M,---,C,Tag B,M,Some Biography,SomeURL,M,N,---,---,---,---,---,---,---,---,Y
05/11/2023 11:23,dummy3@gmail.com,Dummy3,McDummy3,18/11/2023,Some Title,Some Description,B,---,L,Tag C,O,Some Biography,SomeURL,B,Y,---,---,---,---,---,---,---,---,Y
05/12/2023 22:24,dummy4@gmail.com,Dummy4,McDummy4,17/11/2023,Some Title,Some Description,P,---,L,Tag D,F,Some Biography,SomeURL,P,N,---,---,---,---,---,---,---,---,Y
13/05/2023 14:56,dummy5@gmail.com,Dummy5,McDummy5,17/11/2023,Some Title,Some Description,M,---,C,Tag A,M,Some Biography,SomeURL,M,Y,---,---,---,---,---,---,---,---,Y
14/08/2023 02:10,dummy6@gmail.com,Dummy6,McDummy6,17/11/2023,Some Title,Some Description,B,---,L,Tag B,O,Some Biography,SomeURL,B,N,---,---,---,---,---,---,---,---,Y
15/08/2023 20:04,dummy7@gmail.com,Dummy7,McDummy7,17/11/2023,Some Title,Some Description,P,---,C,Tag C,F,Some Biography,SomeURL,P,Y,---,---,---,---,---,---,---,---,Y
16/08/2023 20:04,dummy8@gmail.com,Dummy8,McDummy8,17/11/2023,Some Title,Some Description,M,---,L,Tag D,M,Some Biography,SomeURL,M,N,---,---,---,---,---,---,---,---,Y
17/08/2023 20:04,dummy9@gmail.com,Dummy9,McDummy9,17/11/2023,Some Title,Some Description,B,---,L,Tag A,O,Some Biography,SomeURL,B,Y,---,---,---,---,---,---,---,---,Y
18/08/2023 20:04,dummy10@gmail.com,Dummy10,McDummy10,17/11/2023,Some Title,Some Description,P,---,C,Tag B,F,Some Biography,SomeURL,P,N,---,---,---,---,---,---,---,---,Y
19/08/2023 20:04,dummy11@gmail.com,Dummy11,McDummy11,17/11/2023,Some Title,Some Description,M,---,L,Tag C,M,Some Biography,SomeURL,M,Y,---,---,---,---,---,---,---,---,N
20/08/2023 20:04,dummy12@gmail.com,Dummy12,McDummy12,18/11/2023,Some Title,Some Description,B,---,L,Tag D,O,Some Biography,SomeURL,B,N,---,---,---,---,---,---,---,---,N
21/08/2023 20:04,dummy13@gmail.com,Dummy13,McDummy13,18/11/2023,Some Title,Some Description,P,---,C,Tag A,F,Some Biography,SomeURL,P,Y,---,---,---,---,---,---,---,---,N
22/08/2023 20:04,dummy14@gmail.com,Dummy14,McDummy14,18/11/2023,Some Title,Some Description,M,---,C,Tag B,M,Some Biography,SomeURL,M,N,---,---,---,---,---,---,---,---,N
